name,author,latest_release,created,size,latest_game_version,categories,downloads,mod_loaders
Zombie Awareness,Corosus,"Aug 13, 2024","Nov 8, 2015",645.54 KB,1.20.1,Mobs | Adventure and RPG,"18,016,400","Forge, NeoForge, Fabric"
Hyperbox,Commoble,"Jul 23, 2024","Jan 11, 2021",256.24 KB,1.21.1,Storage | Dimensions,"5,920,190","Forge, NeoForge"
Integrated Stronghold,CraisinLord,"Mar 13, 2024","Jan 22, 2023",5.01 MB,1.20.1,"Structures | Create | Adventure and RPG | World Gen | Armor, Tools, and Weapons","6,375,389","Forge, Fabric, NeoForge"
Bosses of Mass Destruction [Forge | NeoForge],Cerbon,"Jun 11, 2024","Nov 23, 2023",1.78 MB,1.16.5,Mobs | Structures,"3,453,132","Forge, NeoForge"
Savage & Ravage,TeamAbnormals,"Oct 1, 2023","May 8, 2020",1.26 MB,1.19.2,"Magic | Armor, Tools, and Weapons | Structures | Mobs | Adventure and RPG","25,272,192",Forge
Traveler's Backpack [Fabric],Tiviacz1337,"Aug 7, 2024","Oct 25, 2021",1008.83 KB,1.21,"Armor, Tools, and Weapons | Adventure and RPG | Storage | Cosmetic","10,741,970",Fabric
NetherPortalFix (Fabric Edition),BlayTheNinth,"Aug 13, 2024","Nov 17, 2021",208.23 KB,1.21.1,Utility & QoL,"10,385,255",Fabric
When Dungeons Arise - Fabric!,Aureljz,"Aug 9, 2024","Aug 6, 2021",8.36 MB,1.21.1,World Gen | Structures | Adventure and RPG,"15,262,940","Fabric, Quilt"
Connector Extras,Su5eD,"Aug 11, 2024","Sep 16, 2023",84.26 KB,1.21.1,Utility & QoL | Addons | API and Library | Miscellaneous,"3,807,212","Forge, NeoForge"
Better Fps - Render Distance[Fabric],someaddon,"Sep 1, 2024","Feb 24, 2022",17.51 KB,1.21.1,Miscellaneous | Cosmetic,"9,236,838",Fabric
Farmer's Delight Refabricated,MerchantPug,"Sep 8, 2024","Mar 27, 2024",7.63 MB,1.21.1,Cosmetic | Farming | Food,"2,426,951","Fabric, Quilt"
Cut Through,Fuzs,"Jul 12, 2024","Feb 1, 2024",50.19 KB,1.21,Utility & QoL,"2,924,530","Forge, Fabric, NeoForge"
Loading Screens,bloodnbonesgaming,"Mar 11, 2024","Apr 12, 2019",1.43 MB,1.20.2,Miscellaneous | Map and Information,"26,566,042","Forge, NeoForge"
Xenon,Txni,"May 27, 2024","Jan 4, 2022",1.95 MB,1.20.1,Cosmetic | Performance,"2,985,559","Forge, NeoForge"
AlchemyLib,Dark_Arcana,"Jan 17, 2024","May 7, 2018",98.97 KB,1.20.1,API and Library,"17,839,739",Forge
Sky Villages [Forge],y4z0n,"Aug 21, 2024","Nov 9, 2021",240.85 KB,1.21.1,World Gen | Structures | Adventure and RPG,"10,539,922","Forge, NeoForge"
Alchemistry,Dark_Arcana,"Sep 27, 2023","May 7, 2018",3.49 MB,1.20.1,Technology | Education | Automation | Processing,"17,972,618",Forge
Create Jetpack,possible_triangle,"Sep 9, 2024","Aug 4, 2022",219.54 KB,1.20.1,"Addons | Armor, Tools, and Weapons | Technology","9,553,097","Forge, Fabric"
Wawla - What Are We Looking At,DarkhaxDev,"Apr 3, 2022","Oct 6, 2014",33.46 KB,1.16.5,Server Utility | Map and Information | Utility & QoL,"71,855,785",Forge
Doomlike Dungeons,JaredBGreat,"Nov 18, 2022","Feb 12, 2014",708.25 KB,1.12.2,World Gen | Adventure and RPG | Structures,"36,816,005",Forge
EnderCore,tterrag1098,"Jul 30, 2023","Jun 22, 2015",644.59 KB,1.12.2,API and Library,"91,739,810",Forge
"Epic Knights: Shields, Armor and Weapons [Fabric/Forge/NeoForge]",magistu_,"Aug 10, 2024","Jul 28, 2021",2.28 MB,1.21,"Adventure and RPG | Armor, Tools, and Weapons | Cosmetic","12,542,170","Forge, Fabric, NeoForge"
Open Loader,DarkhaxDev,"May 24, 2024","Dec 11, 2019",21.47 KB,1.20.1,Cosmetic | Server Utility | Utility & QoL | API and Library,"19,471,961","Forge, Fabric, Quilt, NeoForge"
Bobby,Johni0702,"Aug 25, 2024","Sep 22, 2020",842.96 KB,1.21,Cosmetic,"6,692,593",Fabric
Tree Harvester,Serilum,"Aug 19, 2024","Mar 14, 2020",120.86 KB,1.21.1,"Farming | Miscellaneous | Armor, Tools, and Weapons","10,628,609","Forge, Fabric, Quilt, NeoForge"
Generator Galore,LobsterJonn,"Aug 10, 2024","Oct 23, 2022",364.97 KB,1.21.1,Energy,"6,104,806","Forge, NeoForge"
YUNG's Better Witch Huts (Fabric),YUNGNICKYOUNG,"May 17, 2024","Jun 7, 2022",293.66 KB,1.20.4,Adventure and RPG | Structures | World Gen,"10,415,824",Fabric
Reforgium,Asek3,"Apr 25, 2023","Apr 23, 2023",257.83 KB,1.18.2,Miscellaneous | API and Library,"5,581,578",Forge
The Bumblezone (NeoForge/Forge),telepathicgrunt,"Aug 23, 2024","Feb 12, 2020",49.82 MB,1.20.1,Dimensions | Biomes | World Gen,"10,935,584","Forge, NeoForge"
Productive Trees,LobsterJonn,"Aug 10, 2024","May 29, 2023",12.62 MB,1.21.1,Genetics | Farming | Food,"2,869,503","Forge, NeoForge"
Better Questing,Funwayguy,"Apr 14, 2024","Dec 15, 2015",1.36 MB,1.12.2,Adventure and RPG | API and Library,"38,087,040",Forge
Tool Stats,DarkhaxDev,"Feb 26, 2024","Apr 19, 2020",19.11 KB,1.19.2,"Armor, Tools, and Weapons | Cosmetic | Adventure and RPG | Utility & QoL","19,729,750","Forge, Fabric, Quilt, NeoForge"
LootTweaker,Daomephsta,"Jun 12, 2024","Dec 17, 2016",133.39 KB,1.12.2,CraftTweaker,"26,631,681",Forge
Fancy Block Particles,MorphoxL,"Oct 27, 2018","Dec 2, 2016",173.25 KB,1.12.2,Cosmetic,"28,572,469",-
Bloodmoon,Lumien231,"Mar 6, 2018","Dec 21, 2014",46.39 KB,1.12.2,Cosmetic | Adventure and RPG,"32,654,156",-
Upgrade Aquatic,TeamAbnormals,"Aug 11, 2024","Jul 10, 2019",4.74 MB,1.20.1,Miscellaneous | Mobs | World Gen | Ores and Resources | Redstone,"28,372,800","Forge, NeoForge"
YUNG's Better Jungle Temples (Fabric),YUNGNICKYOUNG,"May 17, 2024","Aug 2, 2023",908.71 KB,1.20.4,Structures | Adventure and RPG | World Gen,"5,373,717",Fabric
Expanded Delight,ianm1647,"Sep 10, 2024","May 5, 2022",315.63 KB,1.20.1,Food | Ores and Resources | Farming | Addons,"10,424,861","Fabric, Quilt, NeoForge"
AdoraBuild: Structures,AdoraBuild,"Sep 12, 2024","Jul 2, 2023",602.59 KB,1.20.1,World Gen | Adventure and RPG | Structures,"2,084,300","Fabric, Forge, NeoForge"
More Overlays,feldim245,"Nov 19, 2019","Mar 30, 2016",50.08 KB,1.12.2,Map and Information,"65,032,396",Forge
Grappling Hook Mod,yyonne,"Jul 16, 2023","Dec 18, 2015",522.44 KB,1.20.1,"Armor, Tools, and Weapons","21,559,908",Forge
Distant Horizons: A Level of Detail mod,James_Seibel,"Sep 3, 2024","Jul 28, 2021",15.84 MB,1.21.1,Utility & QoL,"5,211,625","Forge, Fabric, NeoForge"
Glassential Renewed (Fabric/Forge/NeoForge),big_energy,"Sep 9, 2024","Dec 1, 2023",287.20 KB,1.21.1,Cosmetic,"4,035,700","Forge, Fabric, NeoForge"
The Man From The Fog,M_Productions,"Jul 31, 2024","Jul 19, 2023",7.55 MB,1.20.1,Magic | Adventure and RPG | Mobs | MCreator,"5,337,544",Forge
FlickerFix,MutantGumdrop,"Jun 14, 2024","Dec 27, 2020",5.11 KB,1.21,Miscellaneous,"17,197,920","Forge, NeoForge"
Better Questing - Standard Expansion,Funwayguy,"Apr 14, 2024","Dec 15, 2015",377.66 KB,1.7.10,Adventure and RPG | Addons,"37,227,578",Forge
Lootr (Fabric),Noobanidus,"Sep 10, 2024","Apr 19, 2022",504.53 KB,1.21.1,Structures,"8,873,633","Fabric, Quilt"
Better Builder's Wands,Portablejim,"Mar 24, 2019","Nov 30, 2015",73.93 KB,1.12.2,"Armor, Tools, and Weapons","87,587,647",-
YUNG's Bridges (Fabric),YUNGNICKYOUNG,"May 17, 2024","Mar 8, 2022",252.81 KB,1.20.4,Biomes | World Gen | Structures | Adventure and RPG,"11,136,354",Fabric
Controllable (Forge),MrCrayfish,"Jun 20, 2023","Mar 13, 2019",15.83 MB,1.20.1,API and Library | Utility & QoL,"7,491,229",Forge
Create: New Age,nullBlade,"Feb 5, 2024","Aug 23, 2023",648.02 KB,1.20.1,Technology | Addons | Create,"6,846,931","Forge, Fabric, NeoForge"
Absent by Design,Lothrazar,"Aug 25, 2024","Oct 28, 2018",1.61 MB,1.20.1,Cosmetic,"26,355,687","Forge, NeoForge"
Mysterious Mountain Lib,sz0999312,"Jun 10, 2024","Mar 18, 2020",292.45 KB,1.18.2,API and Library,"9,099,657","Forge, NeoForge"
Dynamic Lights,atomicstrykergrumpy,"Jun 20, 2024","Feb 18, 2015",47.63 KB,1.21,Adventure and RPG | Cosmetic,"13,343,443","Forge, NeoForge"
RandomPatches (Forge),TheRandomLabs,"Feb 21, 2021","Jan 18, 2018",414.00 KB,1.16.5,Cosmetic | Miscellaneous | Server Utility,"72,174,214",Forge
Immersive Petroleum,Flaxbeard,"May 9, 2024","May 24, 2017",2.14 MB,1.19.2,Ores and Resources | Energy | Processing | Technology | Addons,"48,444,227",Forge
Click Machine,Shadows_of_Fire,"Sep 21, 2023","Jul 16, 2018",51.02 KB,1.20.1,Redstone | Energy | Technology,"18,616,839","Forge, NeoForge"
End's Phantasm,Lyof429,"Aug 29, 2024","Jan 7, 2022",685.14 KB,1.20.1,Biomes | Adventure and RPG | World Gen | Utility & QoL | Structures,"5,748,824","Forge, Fabric"
Sons Of Sins,Furti_Two,"Mar 5, 2024","Oct 20, 2021",4.16 MB,1.19.2,Magic | MCreator | Genetics,"5,501,466",Forge
Inspirations,KnightMiner,"Nov 7, 2022","Dec 23, 2017",822.51 KB,1.12.2,"Miscellaneous | Armor, Tools, and Weapons | Redstone | Storage","21,936,196",Forge
Mekanism Additions,bradyaidanc,"Aug 31, 2024","Oct 4, 2019",1.08 MB,1.20.1,Cosmetic | Addons,"21,058,756","Forge, NeoForge"
BetterEnd Crashed Ships Tweaks,MuonR,"Aug 13, 2024","May 15, 2024",9.94 KB,1.21,Bug Fixes | World Gen,"1,750,091",Fabric
Mahou Tsukai,stepcros,"Sep 1, 2024","Sep 22, 2019",3.88 MB,1.20.1,"Adventure and RPG | Armor, Tools, and Weapons | Magic | Cosmetic","26,827,768","Forge, NeoForge"
CoFH World,TeamCoFH,"Apr 4, 2020","Jul 5, 2017",494.13 KB,1.12.2,Thermal Expansion | Ores and Resources | Structures,"64,771,746",-
Reacharound,spAnser,"Jun 21, 2024","Jul 22, 2022",25.36 KB,1.21,Cosmetic | Miscellaneous,"8,250,842","Fabric, Quilt"
TenshiLib (Forge),flemmli97,"Aug 12, 2024","Jan 22, 2019",515.14 KB,1.18.2,API and Library,"11,952,861","Forge, NeoForge"
AdventureZ,Globox_Z,"Sep 3, 2024","Jun 21, 2020",4.72 MB,1.21.1,Mobs,"18,269,471",Fabric
Autochef's Delight,Snownee,"Sep 10, 2024","Jan 20, 2024",16.23 KB,1.21.1,Food | Bug Fixes | Utility & QoL,"1,731,689","Fabric, Quilt, Forge, NeoForge"
Uppers,vadis365,"Jun 30, 2024","Nov 7, 2017",29.95 KB,1.21,"Energy, Fluid, and Item Transport | Redstone","29,545,248","Forge, NeoForge"
Atmospheric,TeamAbnormals,"Apr 6, 2024","Feb 11, 2020",2.66 MB,1.19.2,Food | Structures | Adventure and RPG | Biomes | Cosmetic,"18,665,767",Forge
YDM's MobHealthBar,YourDailyModderx,"Jul 9, 2024","Dec 24, 2021",120.71 KB,1.21,Cosmetic | Cosmetic,"5,993,934","Forge, Fabric"
WITS (What Is This Structure?),telepathicgrunt,"Jun 14, 2024","Sep 3, 2023",11.71 KB,1.21.1,Utility & QoL | Structures,"2,403,857","Forge, Fabric, NeoForge"
Large Ore Deposits,EnderLanky,"Sep 8, 2024","Apr 6, 2019",141.67 KB,1.19.2,World Gen | Ores and Resources,"32,152,418","Forge, NeoForge"
Extra Utilities,RWTema,"Feb 22, 2019","Nov 14, 2014",3.08 MB,1.12.2,"Armor, Tools, and Weapons | Energy | Processing | Technology | Energy, Fluid, and Item Transport","98,161,326",-
Chameleon,Texelsaur,"Jul 15, 2017","May 14, 2015",94.59 KB,1.12.2,API and Library,"90,897,743",-
Tinkers' Tool Leveling,bonusboni,"Oct 24, 2018","Sep 11, 2016",93.60 KB,1.12.2,"Addons | Tinker's Construct | Armor, Tools, and Weapons | Adventure and RPG","67,572,541",-
Blossom Blade,joshieman,"Mar 18, 2024","Oct 7, 2023",6.86 KB,1.20.4,"Armor, Tools, and Weapons | World Gen | Structures","3,089,336","Forge, Fabric, Quilt"
Quark Oddities,Vazkii,"Jan 31, 2024","Aug 18, 2018",915.00 Bytes,1.20.1,Cosmetic | Ores and Resources,"24,747,054",Forge
LambDynamicLights,LambdAurora,"Feb 6, 2024","Jul 4, 2020",555.34 KB,1.20.4,Cosmetic | Adventure and RPG,"18,343,213","Fabric, Quilt"
Spawners+,NathanTheCraziest,"Aug 13, 2024","Jul 7, 2023",49.26 KB,1.20.1,Utility & QoL | Mobs | Structures,"3,320,015",Fabric
YUNG's Menu Tweaks (Forge),YUNGNICKYOUNG,"Jul 25, 2024","Sep 28, 2023",153.33 KB,1.21,Utility & QoL | Cosmetic,"3,792,817",Forge
Dungeons Plus,ModdingLegacy,"Jan 12, 2024","Apr 22, 2020",1.22 MB,1.20.4,Adventure and RPG | Structures,"22,718,537","Forge, NeoForge"
Repurposed Structures (Fabric/Quilt),telepathicgrunt,"Aug 22, 2024","Jun 23, 2020",7.81 MB,1.21.1,Structures | World Gen,"18,105,992","Fabric, Quilt"
Presence Footsteps,S0llace,"Jul 24, 2024","Aug 7, 2019",5.47 MB,1.21,Cosmetic,"11,436,260","Fabric, Quilt"
Fx Control!,McJty,"Jul 30, 2024","Feb 6, 2019",122.85 KB,1.19.2,Server Utility,"11,008,609",Forge
Animal Feeding Trough [Fabric | Forge | Quilt | NeoForge],Slexom,"Aug 11, 2024","Feb 12, 2021",231.43 KB,1.21,Farming | Mobs,"9,550,807","Fabric, Forge, Quilt, NeoForge"
The Outer End,BlueDuck,"Mar 15, 2024","Dec 23, 2020",23.86 MB,1.20.1,Mobs | Biomes | Structures | Adventure and RPG | Dimensions,"14,240,679","Forge, NeoForge"
Easy Piglins,henkelmax,"Sep 3, 2024","Nov 12, 2020",220.74 KB,1.21.1,Cosmetic | Farming | Redstone | Server Utility,"7,683,495","Forge, NeoForge"
Simple Hats,fonnymunkey,"Aug 7, 2024","Jun 9, 2022",1.49 MB,1.18.2,"Cosmetic | Armor, Tools, and Weapons","4,493,609","Forge, Fabric"
Item Stages,DarkhaxDev,"Mar 27, 2024","Oct 21, 2017",31.37 KB,1.20.1,Server Utility | Adventure and RPG | API and Library | CraftTweaker,"18,822,353",Forge
Transmog,Hidoni,"Sep 6, 2024","Apr 9, 2023",87.68 KB,1.21.1,"Cosmetic | Armor, Tools, and Weapons","4,093,328","Fabric, Forge, Quilt, NeoForge"
Epic Fight,maninthe_home,"Aug 23, 2024","Aug 28, 2020",6.42 MB,1.20.1,"Armor, Tools, and Weapons | API and Library | Adventure and RPG","14,193,923",Forge
Pluto,AbdElAziz333,"Apr 2, 2023","Sep 30, 2022",158.75 KB,1.18.2,Server Utility | Miscellaneous,"7,705,503",Forge
Mo' Bends,IVESIRIS,"Jan 4, 2022","Jun 7, 2015",752.53 KB,1.12.2,Cosmetic,"27,899,402",Forge
Drip Sounds (Forge),PieKing1215,"Jun 11, 2023","Jun 21, 2020",77.15 KB,1.20.1,Cosmetic,"6,489,300",Forge
Tiny Redstone,Danny_and_Son,"Sep 9, 2024","Mar 6, 2021",369.93 KB,1.20.1,Redstone | Technology,"10,635,119",Forge
Pickle Tweaks,BlakeBr0,"Sep 12, 2024","Dec 12, 2015",234.27 KB,1.20.1,"Cosmetic | Armor, Tools, and Weapons | Miscellaneous | Food","29,883,125","Forge, NeoForge"
Theurgy,kli_kli,"Sep 11, 2024","Dec 23, 2020",4.86 MB,1.21.1,"Magic | Armor, Tools, and Weapons | Adventure and RPG","9,830,179","Forge, NeoForge"
Fabric Seasons,D4rkness_King,"Aug 12, 2023","Oct 17, 2020",418.36 KB,1.20.1,Miscellaneous,"12,543,491",Fabric
It's the little things,Zlepper,"Sep 22, 2023","Jul 16, 2015",181.49 KB,1.20.2,Miscellaneous,"26,865,757","Forge, NeoForge"
Multi Mine,atomicstrykergrumpy,"Jun 20, 2024","Feb 18, 2015",31.75 KB,1.21,Miscellaneous,"14,731,813","Forge, NeoForge"
Tiny Skeletons [Forge & Fabric],Fuzs,"Aug 23, 2024","Nov 21, 2021",103.33 KB,1.21,Mobs,"12,352,634","Forge, Fabric, NeoForge"
Icarus,Cammie,"Aug 19, 2024","Dec 14, 2020",175.22 KB,1.21.1,"Magic | Adventure and RPG | Player Transport | Armor, Tools, and Weapons | Cosmetic","7,704,310","Fabric, Quilt, Forge, NeoForge"
JCPlugin,PT400C,"Dec 3, 2023","Aug 13, 2022",33.21 KB,1.20.6,Miscellaneous | API and Library,"10,349,283","Forge, Fabric, NeoForge"
Glassential,Lykrast,"Sep 8, 2024","Apr 11, 2019",147.68 KB,1.20.1,Cosmetic,"24,380,081","Forge, NeoForge"
FTB Library (Forge) (Legacy),FTB,"Jun 22, 2020","Oct 20, 2015",912.47 KB,1.12.2,API and Library | Server Utility | Map and Information,"88,812,539",Forge
Guide-API,TehNut,"Dec 10, 2018","Mar 24, 2015",165.55 KB,1.12.2,API and Library | Map and Information,"75,098,024",-
Scaling Health,SilentChaos512,"Jan 29, 2024","Jul 27, 2016",522.92 KB,1.20.1,Adventure and RPG | Mobs,"25,927,114",Forge
Galosphere,orcinus73,"Dec 26, 2023","Jun 6, 2022",33.29 MB,1.20.1,"Mobs | World Gen | Armor, Tools, and Weapons | Biomes | Ores and Resources","11,068,563","Forge, Fabric"
Alloy Forgery,gliscowo,"Aug 10, 2024","Jan 22, 2021",295.07 KB,1.21.1,Processing | Technology | API and Library,"10,038,964","Fabric, Quilt"
Immersive Melodies [Fabric/Forge],Conczin,"Jul 4, 2024","Aug 20, 2023",2.30 MB,1.18.2,"Armor, Tools, and Weapons | Miscellaneous | Cosmetic | Utility & QoL | Adventure and RPG","3,495,705","Fabric, Forge"
Valhelsia Structures,ValhelsiaTeam,"Mar 20, 2024","Oct 12, 2019",2.45 MB,1.20.1,Structures | Adventure and RPG | World Gen,"27,240,218",Forge
DEUF Refabricated,ElocinDev,"Jun 14, 2024","May 5, 2023",7.88 KB,1.21,Miscellaneous,"5,829,079","Fabric, Quilt"
DefaultSettings,PT400C,"May 2, 2024","Mar 24, 2019",93.30 KB,1.20.6,Cosmetic | API and Library | Miscellaneous,"14,765,510","Forge, NeoForge"
Improved Mobs (Forge),flemmli97,"May 16, 2024","Nov 27, 2017",307.83 KB,1.20.6,Mobs,"11,463,244","Forge, NeoForge"
ChemLib,Dark_Arcana,"Feb 23, 2024","Sep 8, 2019",13.02 MB,1.18.2,API and Library | Technology,"12,028,413",Forge
Umbral Skies,Drullkus,"Jul 5, 2024","Apr 29, 2023",197.71 KB,1.20.4,World Gen | Dimensions | Biomes | Structures,"3,456,866","Forge, NeoForge"
AIOT Botania,MelanX,"Jul 14, 2024","May 28, 2018",191.28 KB,1.19.2,"Addons | Armor, Tools, and Weapons | Farming","24,410,405",Forge
Extra Compat,Cyber_Rat,"Sep 8, 2024","Oct 14, 2023",567.83 KB,1.20.1,Miscellaneous | Map and Information | Cosmetic | Server Utility | Adventure and RPG,"3,273,151",Forge
Advanced Netherite (Fabric),AutovwDev,"Aug 9, 2024","Nov 18, 2021",494.91 KB,1.21.1,"Armor, Tools, and Weapons | Adventure and RPG | API and Library | Ores and Resources","7,575,744",Fabric
Serene Seasons Fix,Or_OS,"Jul 16, 2023","Jul 27, 2022",10.61 KB,1.20.1,Utility & QoL | Addons,"1,916,909",Forge
Prism [Fabric],Grend_G,"Aug 14, 2024","Aug 28, 2022",60.13 KB,1.21.1,Utility & QoL | Miscellaneous | Cosmetic | API and Library,"8,649,553",Fabric
Just Enough Archaeology,LobsterJonn,"Sep 11, 2024","Jul 19, 2023",42.57 KB,1.21.1,Utility & QoL,"5,091,712","Forge, NeoForge"
Legacy: [Let's Do] Brewery,satisfy,"Jun 14, 2024","Feb 7, 2024",2.11 MB,1.20.1,Adventure and RPG | Cosmetic | Food,"3,185,133","Fabric, Quilt, Forge, NeoForge"
Blur+,Motschen,"Sep 7, 2024","Jul 4, 2020",89.99 KB,1.21.1,Utility & QoL | Utility & QoL | Cosmetic | Cosmetic,"12,553,129","Fabric, Quilt, NeoForge"
Pixelmon,PixelmonMod,"Aug 6, 2024","Jun 13, 2020",406.32 MB,1.16.5,"World Gen | Cosmetic | Adventure and RPG | Armor, Tools, and Weapons","21,677,341",Forge
Industrial Foregoing Souls,Buuz135,"Aug 23, 2024","Aug 19, 2023",126.47 KB,1.20.1,Addons | Technology | Processing,"4,326,520",Forge
Corail Woodcutter,Corail_31,"Sep 10, 2024","Jul 24, 2019",311.89 KB,1.21.1,Utility & QoL | Cosmetic,"23,535,694","Forge, Fabric, NeoForge"
Yung Structures Addon for Loot Integrations,someaddon,"May 3, 2024","May 2, 2024",6.72 KB,1.20.1,Structures | Adventure and RPG | Structures | Addons | Adventure and RPG | Addons,"1,502,443","Forge, NeoForge, Fabric"
Astral Sorcery,HellFirePvP,"Jun 1, 2022","Feb 12, 2016",28.84 MB,1.16.5,"Magic | Adventure and RPG | Armor, Tools, and Weapons","64,587,241",Forge
More Axolotl Variants Mod,AkashiiKun69,"Jul 3, 2024","Jun 29, 2021",765.42 KB,1.21,Mobs | Miscellaneous,"12,960,755","Fabric, Forge, Quilt"
AstikorCarts [Horse Carts],issork,"Jan 27, 2023","Aug 5, 2017",246.66 KB,1.19.2,"Miscellaneous | Storage | Farming | Energy, Fluid, and Item Transport | Player Transport","16,793,099",Forge
ParCool! ~ Minecraft Parkour ~,alRex_U,"Sep 12, 2024","May 15, 2021",869.45 KB,1.20.1,Utility & QoL | Adventure and RPG | Miscellaneous,"3,718,229","Forge, NeoForge"
Scape and Run: Parasites,Dhanantry,"May 25, 2024","Oct 15, 2019",25.77 MB,1.12.2,Mobs,"13,070,826",Forge
Pam's HarvestCraft,pamharvestcraft,"Mar 19, 2020","Jun 29, 2014",4.69 MB,1.12.2,"Cosmetic | Ores and Resources | Farming | Food | Armor, Tools, and Weapons","94,475,765",Forge
Macaw's Fences - Biomes O' Plenty,Samlegamer_,"Aug 26, 2024","Apr 4, 2022",455.98 KB,1.16.5,Cosmetic | Addons,"7,024,417","Forge, Fabric, NeoForge"
Extended Crafting,BlakeBr0,"Sep 11, 2024","May 26, 2017",636.99 KB,1.21.1,Miscellaneous | Technology,"33,320,143","Forge, NeoForge"
First-person Model (Forge/Fabric),tr7zw,"Jul 29, 2024","Aug 1, 2019",115.26 KB,1.21,"Cosmetic | Adventure and RPG | Armor, Tools, and Weapons","7,071,277","Fabric, Forge, NeoForge"
Hunter'sReturn,bagu_chan500,"Jul 30, 2024","Apr 6, 2019",504.54 KB,1.21.1,"Structures | Armor, Tools, and Weapons | Mobs","22,126,978","Forge, Fabric, Quilt, NeoForge"
Create Ore Excavation,tom54541,"Sep 6, 2024","Jul 25, 2022",488.63 KB,1.20.1,Automation | Create | Technology | Addons | Ores and Resources,"7,019,649","Forge, Fabric, NeoForge"
VillagersPlus (FABRIC),finallion_13,"Dec 31, 2023","Jan 15, 2023",347.98 KB,1.20.1,World Gen | Utility & QoL | Mobs | Ores and Resources | Farming,"7,550,155",Fabric
Quests Additions (Forge),NaturaSpell,"Sep 7, 2024","Feb 14, 2022",108.78 KB,1.20.1,Map and Information | Adventure and RPG | API and Library | Addons,"9,932,578",Forge
Corn Delight[Forge],sz0999312,"May 21, 2024","Feb 10, 2022",139.16 KB,1.20.1,Food | Addons | Farming | Technology,"7,600,213","Forge, NeoForge"
Village Artifacts,Lothrazar,"Jul 5, 2023","Apr 9, 2021",54.84 KB,1.20.1,Adventure and RPG,"20,615,658","Forge, NeoForge"
More Axolotl Variants API,AkashiiKun69,"Jul 6, 2024","Nov 24, 2022",557.37 KB,1.20.6,API and Library | Mobs,"6,900,869","Forge, Fabric, Quilt, NeoForge"
Boatload,TeamAbnormals,"Apr 26, 2024","Aug 25, 2019",363.68 KB,1.20.1,"Player Transport | Storage | Armor, Tools, and Weapons | Server Utility","11,538,100","Forge, NeoForge"
Charm,svenhjol,"Sep 23, 2022","Apr 6, 2019",3.78 MB,1.19.2,Utility & QoL,"28,261,329","Forge, Fabric, Quilt"
End Remastered [Fabric],jack_bagel,"Dec 21, 2023","Aug 15, 2021",137.83 KB,1.20.4,Dimensions | API and Library | Adventure and RPG | Map and Information,"7,311,347",Fabric
Mob Despawn Timers,Shadows_of_Fire,"Aug 19, 2023","Feb 24, 2023",5.25 KB,1.20.1,Utility & QoL | Server Utility | Performance,"5,362,071","Forge, NeoForge"
Modern Industrialization,thetechnici4n,"Sep 10, 2024","Aug 30, 2020",6.45 MB,1.20.4,"Processing | Technology | Energy, Fluid, and Item Transport","6,090,447","Fabric, NeoForge"
Temporal API,Cyber_Rat,"Jul 7, 2024","Feb 4, 2024",211.58 KB,1.20.1,API and Library | Miscellaneous,"1,598,345",Forge
ucrashedlol,skycatminepokie,"Jun 29, 2024","May 3, 2024",6.60 KB,1.17.1,Miscellaneous,"1,590,446",Fabric
Crawl on Demand,Talilon,"Oct 6, 2023","Jun 17, 2023",17.03 KB,1.20.1,Addons | Adventure and RPG | Cosmetic | Utility & QoL,"1,869,457",Forge
Vertical Slabs Compat,MehVahdJukaar,"Sep 4, 2024","Dec 8, 2022",92.52 KB,1.20.1,Cosmetic,"3,856,029","Forge, Fabric"
MrCrayfish's Furniture Mod: Refurbished,MrCrayfish,"Sep 9, 2024","Aug 1, 2023",6.78 MB,1.21.1,Technology | Storage | Automation | Cosmetic | Food,"1,192,256","Forge, Fabric, NeoForge"
Macaw's Bridges - Biomes O' Plenty,Samlegamer_,"Jun 29, 2024","Oct 3, 2021",529.34 KB,1.21.1,Addons | Cosmetic,"7,092,837","Forge, NeoForge, Fabric"
Translocators 1.8.+,covers1624,"Apr 26, 2024","Jul 19, 2016",309.54 KB,1.20.1,"Energy, Fluid, and Item Transport | Technology | Storage","42,670,839","Forge, NeoForge"
Spell Engine,daedelus_dev,"Sep 11, 2024","Jan 12, 2023",1.39 MB,1.20.1,Magic | API and Library,"6,841,651",Fabric
Create Fabric,tropheusj,"Apr 8, 2024","May 17, 2022",20.94 MB,1.20.1,"Armor, Tools, and Weapons | Redstone | Cosmetic | Technology","8,800,698","Fabric, Quilt"
Stylish Effects,Fuzs,"Feb 11, 2024","Nov 2, 2021",116.63 KB,1.20.1,Utility & QoL | Map and Information | Cosmetic,"3,732,015","Forge, Fabric, NeoForge"
Spell Power Attributes [Fabric],daedelus_dev,"Sep 11, 2024","Dec 23, 2022",175.63 KB,1.21.1,Magic | API and Library,"6,725,988",Fabric
Brutal Bosses - Custom Bosses[Forge/Fabric],someaddon,"Sep 1, 2024","Dec 18, 2021",161.85 KB,1.21.1,Adventure and RPG | Mobs,"8,537,348","Forge, Fabric, NeoForge"
AzureLib Armor,AzureDoomC,"Sep 7, 2024","Sep 13, 2023",404.40 KB,1.21.1,API and Library,"4,882,313","Fabric, Quilt, Forge, NeoForge"
