name,author,latest_release,created,size,latest_game_version,categories,downloads,mod_loaders
FancyMenu,Keksuccino,"Jun 21, 2024","Mar 17, 2020",2.41 MB,1.21.1,Miscellaneous | API and Library,"70,642,090","Forge, Fabric, NeoForge"
spark,Iucko,"Aug 13, 2024","Feb 6, 2020",3.49 MB,1.21.1,Server Utility,"88,847,189","Forge, Fabric, NeoForge"
Just Enough Resources (JER),way2muchnoise,"Aug 25, 2024","Jan 11, 2016",272.45 KB,1.19.2,Mobs | Ores and Resources | Map and Information | Biomes | Addons,"152,456,462","Forge, Fabric, NeoForge"
Better Advancements,way2muchnoise,"Aug 25, 2024","Jul 20, 2017",62.61 KB,1.18.2,Cosmetic,"134,239,332","Forge, Fabric, NeoForge"
Entity Culling Fabric/Forge,tr7zw,"Aug 29, 2024","Feb 19, 2021",64.05 KB,1.21.1,Utility & QoL | Miscellaneous | Miscellaneous | Utility & QoL,"71,212,307","Fabric, Forge, NeoForge"
Item Filters,LatvianModder,"Nov 4, 2023","Dec 24, 2018",112.79 KB,1.18.2,API and Library,"109,648,742","Forge, Fabric, NeoForge"
Carry On,Tschipp,"Aug 21, 2024","Aug 11, 2017",492.51 KB,1.21.1,Storage | Technology,"100,287,837","Forge, Fabric, NeoForge"
Embeddium,embeddedt,"Sep 1, 2024","Sep 1, 2023",1.00 MB,1.21.1,Performance,"32,203,857","Forge, NeoForge, Fabric"
Resourceful Lib,ThatGravyBoat,"Sep 1, 2024","Jan 19, 2022",473.07 KB,1.21,API and Library,"44,542,619","Fabric, Forge, NeoForge"
FTB Teams (Forge),FTB,"Aug 15, 2024","Aug 25, 2020",250.50 KB,1.21.1,API and Library,"82,030,901","Forge, NeoForge"
Sophisticated Core,P3pp3rF1y,"Aug 23, 2024","Apr 27, 2022",1.03 MB,1.20.1,API and Library,"55,366,798","Forge, NeoForge"
CreativeCore,CreativeMD,"Sep 4, 2024","Jan 23, 2017",1.12 MB,1.21.1,API and Library,"94,627,646","Forge, Fabric, NeoForge"
YUNG's Better Mineshafts (Forge),YUNGNICKYOUNG,"May 10, 2024","Jun 14, 2020",481.57 KB,1.20.4,World Gen | Structures | Adventure and RPG,"84,505,079",Forge
AttributeFix,DarkhaxDev,"May 3, 2024","Oct 24, 2017",19.94 KB,1.18.2,Bug Fixes | Utility & QoL,"106,932,627","Forge, Fabric, Quilt, NeoForge"
FTB Quests (Forge),FTB,"Aug 16, 2024","Mar 3, 2018",1.21 MB,1.21.1,Adventure and RPG | API and Library | Server Utility | Map and Information,"98,970,210","Forge, NeoForge"
Xaero's World Map,xaero96,"Aug 24, 2024","Mar 20, 2019",904.20 KB,1.21.1,Player Transport | Map and Information,"80,400,245","Forge, Fabric, NeoForge, Quilt"
Kotlin for Forge,thedarkcolour,"Aug 10, 2024","Nov 12, 2019",6.19 MB,1.21.1,API and Library,"64,974,005","Forge, NeoForge"
Fabric API,modmuss50,"Sep 12, 2024","Nov 9, 2018",2.20 MB,1.21.1,API and Library,"100,426,379",Fabric
TerraBlender (Forge),TheAdubbz,"Sep 2, 2024","Jan 3, 2022",113.05 KB,1.20.4,World Gen | API and Library | Biomes,"57,123,314","Forge, NeoForge"
Biomes O' Plenty,Forstride,"Aug 27, 2024","May 9, 2014",21.30 MB,1.21,World Gen | Biomes,"143,726,850","Forge, NeoForge, Fabric"
Searchables,Jaredlll08,"Aug 13, 2024","May 6, 2023",75.16 KB,1.21.1,Map and Information | API and Library | Utility & QoL | Cosmetic,"31,403,006","Fabric, Forge, NeoForge"
SuperMartijn642's Core Lib,SuperMartijn642,"Sep 11, 2024","Mar 8, 2021",506.49 KB,1.21.1,API and Library,"73,843,234","Forge, Fabric, NeoForge, Quilt"
Not Enough Animations,tr7zw,"Sep 7, 2024","Jan 5, 2021",412.49 KB,1.21.1,Cosmetic | Map and Information,"49,717,957","Fabric, Forge, NeoForge"
Create,simibubi,"Sep 3, 2024","Jul 18, 2019",14.86 MB,1.20.1,"Redstone | Cosmetic | Armor, Tools, and Weapons | Technology","91,030,433","Forge, NeoForge"
Connectivity[Forge/Fabric],someaddon,"Jul 8, 2024","Apr 12, 2021",72.57 KB,1.21.1,Player Transport | Server Utility | Map and Information,"56,227,462","Forge, Fabric, NeoForge"
Alex's Mobs,sbom_xela,"Sep 7, 2024","Dec 8, 2020",25.13 MB,1.20.1,"Farming | Armor, Tools, and Weapons | Mobs | Player Transport","71,321,218","Forge, NeoForge"
SuperMartijn642's Config Lib,SuperMartijn642,"Jul 20, 2024","Jan 21, 2021",202.65 KB,1.21,API and Library,"64,972,130","Forge, Fabric, NeoForge, Quilt"
Sound Physics Remastered,henkelmax,"Aug 9, 2024","Oct 10, 2021",190.74 KB,1.21.1,Adventure and RPG | Cosmetic,"36,745,474","Forge, Fabric, NeoForge, Quilt"
playerAnimator,KosmX,"Sep 7, 2024","Aug 12, 2022",176.76 KB,1.19.4,API and Library | Cosmetic,"37,229,391","Forge, Fabric, Quilt, NeoForge"
Cosmetic Armor Reworked,LainMI,"Aug 9, 2024","Oct 25, 2015",89.42 KB,1.21.1,Cosmetic,"101,544,416","Forge, NeoForge"
YUNG's Better Dungeons (Forge),YUNGNICKYOUNG,"May 17, 2024","Aug 1, 2021",774.85 KB,1.20.4,Adventure and RPG | Structures | World Gen,"56,690,928",Forge
Caelus API (Forge/NeoForge),TheIllusiveC4,"Sep 5, 2024","Dec 14, 2018",49.06 KB,1.21.1,API and Library,"64,989,771","Forge, NeoForge"
AutoRegLib,Vazkii,"Nov 20, 2022","Aug 28, 2016",44.67 KB,1.19.2,API and Library,"190,154,915",Forge
Iceberg [Neo/Forge],Grend_G,"Aug 14, 2024","Aug 24, 2021",172.70 KB,1.21.1,API and Library,"53,171,023","Forge, NeoForge"
ImmediatelyFast,RaphiMC,"Aug 29, 2024","Oct 8, 2022",417.97 KB,1.21.1,Performance | Utility & QoL,"26,819,278","Fabric, Quilt, Forge, NeoForge"
[ETF] Entity Texture Features - [Fabric & Forge],traben_0,"Sep 6, 2024","Jan 17, 2022",610.53 KB,1.21.1,Cosmetic | Utility & QoL,"31,635,336","Fabric, Quilt, Forge, NeoForge"
The Twilight Forest,Benimatic,"Sep 7, 2024","Feb 8, 2015",22.25 MB,1.20.1,Structures | Dimensions | Biomes | Adventure and RPG | Mobs,"134,041,722","Forge, NeoForge, Fabric"
Server Performance - Smooth Chunk Save[Forge/Fabric],someaddon,"Jul 7, 2024","Feb 22, 2022",11.23 KB,1.21.1,Server Utility | Map and Information,"41,175,302","Forge, Fabric, NeoForge"
Lootr (Forge & NeoForge),Noobanidus,"Sep 10, 2024","Feb 4, 2020",436.50 KB,1.21.1,Structures | Server Utility,"51,664,440","Forge, NeoForge"
YUNG's Better Strongholds (Forge),YUNGNICKYOUNG,"May 17, 2024","Apr 4, 2021",463.87 KB,1.20.4,Adventure and RPG | World Gen | Structures,"54,450,094",Forge
Chipped,terrariumearth,"Sep 1, 2024","Mar 15, 2021",14.32 MB,1.21.1,Cosmetic,"45,374,134","Forge, Fabric, NeoForge"
Fast Leaf Decay,olafskiii,"May 27, 2024","May 28, 2015",11.43 KB,1.20.6,Farming,"124,850,388",Forge
Yeetus Experimentus,Sunekaer,"Jun 19, 2024","Jun 20, 2022",557.02 KB,1.20.4,World Gen | Utility & QoL,"28,303,272","Forge, Fabric, NeoForge"
[EMF] Entity Model Features [Fabric & Forge],traben_0,"Sep 6, 2024","Apr 1, 2023",417.40 KB,1.21.1,Cosmetic | Utility & QoL | Mobs,"21,753,179","Forge, NeoForge, Fabric, Quilt"
Corpse,henkelmax,"Aug 25, 2024","Mar 5, 2019",238.04 KB,1.20.1,Storage | Miscellaneous | Server Utility | Cosmetic,"49,765,963","Forge, NeoForge"
Macaw's Bridges,sketch_macaw,"Aug 17, 2024","Nov 17, 2019",631.63 KB,1.21.1,Cosmetic | Player Transport | Structures,"79,491,800","Forge, Fabric, NeoForge"
Toast Control,Shadows_of_Fire,"Jul 14, 2024","Jul 10, 2017",26.33 KB,1.20.1,Cosmetic,"112,448,458","Forge, NeoForge"
Melody,Keksuccino,"Jun 21, 2024","Nov 15, 2023",35.25 KB,1.21.1,API and Library,"12,410,310","Forge, Fabric, NeoForge"
Chat Heads,dzwdz,"Sep 11, 2024","Sep 9, 2020",69.94 KB,1.21.1,Map and Information | Cosmetic,"31,175,460","Fabric, Forge, NeoForge"
fix GPU memory leak[Forge/Fabric],someaddon,"Jul 8, 2024","Jun 30, 2023",5.88 KB,1.21.1,Utility & QoL | Cosmetic,"22,864,062","Forge, Fabric, NeoForge"
CraftTweaker,Jaredlll08,"Sep 10, 2024","Dec 28, 2015",3.27 MB,1.21,API and Library | CraftTweaker | Server Utility,"168,007,272","Forge, Fabric, NeoForge"
OpenBlocks Elevator,vsngarcia,"Jul 22, 2024","Sep 9, 2016",185.10 KB,1.20.4,Cosmetic | Redstone | Player Transport,"110,584,690","Forge, NeoForge, Fabric"
FTB XMod Compat,FTB,"Aug 19, 2024","Jul 17, 2023",126.31 KB,1.21.1,API and Library,"22,411,709","Fabric, Forge, NeoForge"
Just Enough Professions (JEP),Mrbysco,"Sep 7, 2024","Nov 5, 2020",23.39 KB,1.21,Map and Information | Addons | Utility & QoL,"42,623,255","Forge, NeoForge, Fabric"
Elytra Slot (Fabric/Forge/Quilt),TheIllusiveC4,"Jul 31, 2024","Mar 19, 2019",91.50 KB,1.20.1,"Armor, Tools, and Weapons","58,095,328","Forge, Fabric, Quilt, NeoForge"
No Chat Reports,Aizistral,"Jun 18, 2024","Jun 16, 2022",300.81 KB,1.21,Server Utility | Utility & QoL | Cosmetic,"37,186,355","Forge, Fabric, Quilt, NeoForge"
Framework,MrCrayfish,"Sep 4, 2024","Nov 23, 2021",302.13 KB,1.21.1,API and Library,"22,513,047","Forge, Fabric, NeoForge"
Applied Energistics 2,thetechnici4n,"Aug 25, 2024","Aug 28, 2014",9.29 MB,1.20.1,"Armor, Tools, and Weapons | Storage | Ores and Resources | Technology | Energy, Fluid, and Item Transport","151,191,006","Forge, Fabric, NeoForge"
YUNG's Better Nether Fortresses (Forge),YUNGNICKYOUNG,"May 17, 2024","Jan 25, 2023",604.79 KB,1.20.4,Structures | World Gen | Adventure and RPG,"27,026,651",Forge
Athena,CodexAdrian,"Aug 15, 2024","Mar 25, 2023",81.75 KB,1.21,Utility & QoL | API and Library,"21,392,621","Fabric, Forge, NeoForge"
Rhino,LatvianModder,"Sep 4, 2024","Oct 29, 2020",941.34 KB,1.21.1,KubeJS | API and Library,"65,744,075","Forge, Fabric, Quilt, NeoForge"
YUNG's Better Ocean Monuments (Forge),YUNGNICKYOUNG,"May 17, 2024","Oct 17, 2022",1010.73 KB,1.20.4,Structures | Adventure and RPG | World Gen,"30,818,721",Forge
Aquaculture 2,Shadow,"Sep 11, 2024","Jun 25, 2013",577.14 KB,1.21.1,"Adventure and RPG | Armor, Tools, and Weapons | Food | Mobs","89,824,559","Forge, NeoForge"
Artifacts,ochotonida,"Sep 5, 2024","Jan 26, 2019",931.28 KB,1.20.1,"Structures | Armor, Tools, and Weapons | Cosmetic | Adventure and RPG","53,424,778","Forge, Fabric, NeoForge"
Structure Gel API,ModdingLegacy,"Jun 21, 2024","Apr 26, 2020",1021.32 KB,1.20.4,Dimensions | Structures | API and Library,"60,238,241","Forge, NeoForge"
Better Fps - Render Distance[Forge],someaddon,"Aug 26, 2024","Dec 1, 2021",19.35 KB,1.21.1,Miscellaneous | Cosmetic,"29,329,885","Forge, NeoForge"
